bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,constant_alpha,184,184,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.1821,-0.15700985599999995,1.0,0.0
-5.0,1,sample_average,188,188,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,10.89545,0.9699842309988644,0.0,0.0
-5.0,1,constant_alpha,188,188,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.10455,-0.17514847999999994,1.0000000000000002,-2.220446049250313e-16
-5.0,1,sample_average,192,192,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,6.9474,0.9699920680664512,0.0,0.0
-5.0,1,constant_alpha,192,192,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.0526,-0.18744751999999995,1.0,0.0
-5.0,1,sample_average,196,196,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,2.98315,0.96999745957058,0.0,0.0
-5.0,1,constant_alpha,196,196,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.01685,-0.19596319999999995,0.9999999999999999,1.1102230246251565e-16
-5.0,1,sample_average,199,199,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,0.0,0.97,0.0,0.0
-5.0,1,constant_alpha,199,199,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.0,-0.19999999999999996,1.0,0.0
-5.0,3,sample_average,0,0,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,2.49855,21.81945,-0.5798282033663451,0.9999999999999987,
-5.0,3,constant_alpha,0,0,20000,0.9,1.0,0.59985,0.5930415116926055,0.6066201387069903,1.0,0.9998079639438954,0.9999999999999999,3.73815,45.57745,0.8969054187046237,0.012990181291984756,
-5.0,3,sample_average,4,4,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,6.19945,23.35655,0.6717746222575443,0.9999999999999428,
-5.0,3,constant_alpha,4,4,20000,0.9,1.0,0.6713,0.6647574921261518,0.6777767163210268,1.0,0.9998079639438954,0.9999999999999999,3.7304,39.79205,0.8810779180736307,0.020104261119779098,
-5.0,3,sample_average,8,8,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,14.68055,28.03515,0.8363215449588788,0.9999999999977793,
-5.0,3,constant_alpha,8,8,20000,0.9,1.0,0.73695,0.7308029265961145,0.7430060675168975,1.0,0.9998079639438954,0.9999999999999999,3.68845,34.5032,0.8636869982489596,0.030331650873927266,
-5.0,3,sample_average,12,12,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,36.15505,41.81295,0.8855469872610018,0.9999999999218367,
-5.0,3,constant_alpha,12,12,20000,0.9,1.0,0.7979,0.7922777084315618,0.8034078764862111,1.0,0.9998079639438954,0.9999999999999999,3.69305,29.9994,0.8466653732780239,0.0446138126318326,
-5.0,3,sample_average,16,16,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,165.7632,0.9062068069471221,0.9999999975507602,
-5.0,3,constant_alpha,16,16,20000,0.9,1.0,0.8487,0.8436668000752594,0.8535992739792133,1.0,0.9998079639438954,0.9999999999999999,3.67715,26.5777,0.8298077149772649,0.06398093563088697,
-5.0,3,sample_average,20,20,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,162.5282,0.9223786133605311,0.9999999332131487,
-5.0,3,constant_alpha,20,20,20000,0.9,1.0,0.8919,0.8875211724209285,0.8961283097182967,1.0,0.9998079639438954,0.9999999999999999,3.6512,23.5473,0.8126714322810195,0.08947417566109217,
-5.0,3,sample_average,24,24,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,159.19725,0.9344842936725165,0.9999984585411905,
-5.0,3,constant_alpha,24,24,20000,0.9,1.0,0.9206,0.9167717608522856,0.9242666984173191,1.0,0.9998079639438954,0.9999999999999999,3.6281,21.41365,0.7978535362538015,0.1220358850117178,
-5.0,3,sample_average,28,28,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,155.9159,0.9439235397363862,0.999970894205022,
-5.0,3,constant_alpha,28,28,20000,0.9,1.0,0.9489,0.9457610868239016,0.9518665032049275,1.0,0.9998079639438954,0.9999999999999999,3.6161,19.4082,0.78167073342206,0.1623753964691314,
-5.0,3,sample_average,32,32,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,152.5978,0.9515013369571214,0.99956895970517,
-5.0,3,constant_alpha,32,32,20000,0.9,1.0,0.96785,0.9653140287120415,0.9702062831502613,1.0,0.9998079639438954,0.9999999999999999,3.5999,17.96655,0.7667478684830296,0.21082594030446697,
-5.0,3,sample_average,36,36,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,149.2469,0.9577204698825881,0.9952504580061932,
